,0,1,2,3
0,Course Code,INSTITUTION and COURSE,EOS,Mid
1,AL801,Software Design with Virtual Reality and Gaming,304,328
2,AL802,Software Design with Cloud Computing,301,306
3,AL803,Software Design with Mobile Apps and Connected Devices,309,337
4,AL805,Network Management and Cloud Infrastructure,329,442
5,AL810,Quantity Surveying,307,349
6,AL820,Mechanical and Polymer Engineering,300,358
7,AL830,General Nursing,410,429
8,AL832,Psychiatric Nursing,387,403
9,AL836,Nutrition and Health Science,352,383
10,AL837,Sports Science with Exercise Physiology,351,392
11,AL838,Biotechnology,302,372
12,AL839,Microbiology,322,371
13,AL840,Pharmaceutical Sciences,328,411
14,AL841,Athletic and Rehabilitation Therapy,423,430
15,AL842,Bioveterinary Science,310,366
16,AL843,Physical Activity and Health Science,310,330
17,AL850,Business,307,356
18,AL851,Business and Law,301,341
19,AL852,Accounting (with optional placement),290,346
20,AL853,Accounting and Law,305,320
21,AL855,Hospitality Management (with International placement),312,357
22,AL857,Digital Marketing,300,360
23,AL860,Social Care Practice,309,338
24,AL861,Animation and Illustration (portfolio),615,899
25,AL863,Graphic and Digital Design (portfolio),703,898
26,AL864,Early Years Care and Education,307,348
27,AL870,Applied Psychology,409,445
28,CW018,"Business (options, Wexford)",327,349
29,CW028,Early Childhood Education and Care (Wexford),252,308
30,CW038,"Art (portfolio, Wexford)",700,700
31,CW058,Tourism and Event Management (Wexford),252,262
32,CW068,Applied Social Studies - Professional Social Care (Wexford),251,280
33,CW078,Sustainable Farm Management and Agribusiness (Wexford),266,320
34,CW088,Visual Communications and Design (Wexford),309,345
35,CW108,Science (options),261,326
36,CW128,Brewing and Distilling,271,298
37,CW178,Sport Science (options),399,424
38,CW188,Sport Rehabilitation and Athletic Therapy,454,473
39,CW208,Computer Games Development,281,338
40,CW238,Software Development,300,343
41,CW248,Information Technology Management,307,357
42,CW258,Cybercrime and IT Security,300,328.0
43,CW268,Computing in Interactive Digital Art and Design,274,321.0
44,CW438,Construction (options),271,308.0
45,CW468,Architectural Technology,252,290.0
46,CW478,Civil Engineering,348,383.0
47,CW548,Mechanical Engineering,310,351.0
48,CW558,Electronic Systems,279,338.0
49,CW568,Aerospace Engineering,366,422.0
50,CW578,TV and Media Production,327,361.0
51,CW708,Law - LLB,298,328.0
52,CW728,Product Design Innovation,286,355.0
53,CW748,Early Childhood Education and Care,265,338.0
54,CW758,Applied Social Studies - Professional Social Care,290,319.0
55,CW808,Media and Public Relations,248,307.0
