,Code,Course,Round1_x,Round2_x,Round1_y,Round2_y,Round1,Round2
769,LM090,Physical Education with concurrent Teacher Education,498,520.0,532.0,,552.0, 544
770,LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),478,509.0,507.0,,521.0, 
771,LM093,Equine Science,338,381.0,339.0,,367.0, 
772,LM094,Materials and Architectural Technology with concurrent Teacher Education,405,433.0,440.0,,475.0, 
773,LM095,Materials and Engineering Technology with concurrent Teacher Education,358,409.0,367.0,,425.0, 
774,LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),382,422.0,405.0,,454.0, 
775,LM099,Architecture (portfolio required),419,473.0,498.0,,520.0, 
776,LM100,Physiotherapy,565,577.0,589.0,,613.0,
777,LM101,Medicine  - Graduate Entry (GAMSAT required),55,57.0,55.0,,,57     
778,LM102,Psychology,495,519.0,509.0,,534.0, 
779,LM103,Paramedic Studies (B and C1 Drivers Licence),313,403.0,392.0,,429.0,
780,LM115,Chemical and Biochemical Engineering,456,520.0,454.0,,476.0, 
781,LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),434,498.0,476.0,,498.0,
782,LM118,Electronic and Computer Engineering,401,498.0,403.0,,445.0, 
783,LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),352,420.0,351.0,,402.0, 
784,LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),330,430.0,327.0,,382.0, 
785,LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),412,455.0,441.0,,498.0,
786,LM124,Mathematics (Math Science/Maths and Physics/Economics and Math Scien,e)427,521.0,437.0,,455.0, 
787,LM125,Physics (Applied Physics/Mathematics and Physics),405,509.0,404.0,,489.0, 
788,LM150,General Nursing,440,463.0,475.0,,498.0,487
789,LM152,Mental Health Nursing,388,418.0,419.0,,478.0, 466
790,LM154,Intellectual Disability Nursing,381,408.0,420.0,,462.0, 443
791,LM156,Midwifery,429,444.0,469.0,,521.0,508
792,MU001,Theology and Arts,290,318.0,290.0,290,294.0, 294
793,MU002,Theology,292,377.0,440.0,,,    
794,MH001,Education - Primary Teaching (Froebel),496,520.0,507.0,,564.0, 
795,MH002,Education - Primary Teaching - Gaeltacht Applicants (Froebel),441,,,,,    
796,MH101,Arts,316,369.0,318.0,,338.0, 336
797,MH103,Music,,367.0,,,,        
798,MH106,Psychology - 3 years,495,499.0,521.0,,554.0, 
799,MH107,Social Science,326,349.0,346.0,,390.0, 
800,MH109,Media Studies,317,377.0,316.0,,324.0, 
801,MH116,Community and Youth Work (Full-Time),,271.0,,,,        
802,MH201,Science,350,392.0,360.0,,401.0, 400
803,MH202,Biotechnology,429,446.0,455.0,,490.0, 489
804,MH204,Physics with Astrophysics,420,488.0,422.0,,422.0, 
805,MH206,Theoretical Physics and Mathematics,498,566.0,510.0,,521.0, 
806,MH207,Data Science,434,466.0,445.0,,444.0, 
807,MH208,Biological and Biomedical Sciences,451,476.0,498.0,,543.0, 
808,MH209,Psychology (through Science) - 4 years,473,485.0,498.0,,529.0, 
809,MH210,Pharmaceutical and Biomedical Chemistry,446,466.0,487.0,,510.0, 
810,MH212,Science/Computer Science/Mathematics (with Education) - options,444,476.0,422.0,,452.0, 443
811,MH304,Engineering (Computer/Electronic/Communications),371,423.0,333.0,333,351.0, 351
812,MH305,Product Design,358,411.0,357.0,,326.0, 
813,MH306,Robotics and Intelligent Devices,361,424.0,361.0,,362.0, 
814,MH401,Finance (options),352,392.0,357.0,,370.0, 
815,MH402,Quantitative Finance,476,487.0,476.0,,476.0, 
816,MH403,Accounting and Finance,402,432.0,422.0,,424.0, 
817,MH404,Business (options),400,429.0,430.0,,441.0, 
818,MH405,Equine Business,357,398.0,357.0,,,
819,MH407,Business and Accounting,401,420.0,420.0,,423.0, 
820,MH411,Entrepreneurship,358,388.0,371.0,,378.0, 
